                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                 2.1189,                 2.4759,                 2.6462,                0.40537,                0.35471,                0.30598,                 0.1127,                 2.1081,                 2.4421,                 2.7934,               0.001703,               0.001703,               0.001703
                     17,                 2.0633,                 2.3451,                 2.5717,                0.26797,                0.42565,                0.23957,                0.08053,                 2.0905,                  4.045,                  2.713,              0.0016832,              0.0016832,              0.0016832
                     18,                  2.064,                 2.3832,                 2.5545,                0.35178,                0.38608,                 0.2622,                0.09961,                 2.0732,                 2.4119,                 2.7232,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.0172,                 2.3327,                 2.5466,                0.44263,                0.39563,                0.35429,                0.13444,                 1.9921,                 2.3818,                  2.611,              0.0016436,              0.0016436,              0.0016436
                     20,                  1.981,                 2.2834,                 2.4891,                0.34522,                  0.397,                0.28404,                0.10119,                 2.0958,                 2.8325,                 2.7115,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.9321,                  2.263,                 2.4535,                0.40251,                0.39973,                0.33885,                0.13382,                 1.9562,                 2.3938,                 2.5776,               0.001604,               0.001604,               0.001604
                     22,                 1.9226,                 2.2011,                 2.4528,                0.40351,                0.38116,                0.32334,                0.14837,                 1.9283,                 2.2281,                 2.5775,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.8926,                 2.1444,                 2.3906,                0.34376,                0.40791,                0.27805,                0.11852,                 1.8383,                 2.3707,                 2.4493,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.8353,                 2.1136,                 2.3619,                0.46086,                0.41746,                0.42841,                0.20172,                 1.8258,                 2.0676,                 2.4422,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.8521,                 2.1645,                 2.3389,                0.44974,                0.47749,                0.39894,                0.16987,                 1.8117,                 2.1613,                 2.4052,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.7981,                 2.0648,                 2.3026,                0.57494,                0.46794,                0.47859,                0.21403,                 1.8014,                 2.0501,                 2.4441,               0.001505,               0.001505,               0.001505
                     27,                 1.7747,                 2.0341,                 2.2947,                0.43366,                0.42701,                0.38777,                0.16598,                 1.8022,                 2.1153,                 2.3855,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.7817,                 2.0193,                 2.2735,                0.50672,                0.45126,                0.44477,                0.22124,                 1.7873,                 2.0394,                 2.3808,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.7217,                 1.9385,                 2.2153,                0.52879,                0.49604,                0.49185,                0.22959,                 1.7361,                 2.0707,                 2.3058,              0.0014456,              0.0014456,              0.0014456
                     30,                  1.716,                 1.9764,                 2.2334,                0.53629,                0.47613,                0.48621,                 0.2462,                  1.725,                 1.8953,                  2.338,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.7122,                 1.9471,                 2.2446,                0.62073,                0.48675,                0.53443,                0.26178,                 1.6467,                 1.8458,                  2.224,               0.001406,               0.001406,               0.001406
                     32,                 1.6668,                 1.9211,                 2.1895,                0.54222,                0.49523,                 0.4796,                0.24615,                 1.6134,                 1.9148,                 2.1936,              0.0013862,              0.0013862,              0.0013862
                     33,                  1.682,                 1.9303,                 2.2009,                0.59759,                0.50068,                0.53677,                 0.2607,                 1.6491,                 1.8504,                 2.2068,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.6155,                 1.8828,                 2.1583,                0.59911,                 0.4925,                0.54502,                0.27384,                 1.6321,                 1.7903,                 2.1862,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.6807,                 1.9276,                 2.1728,                0.57695,                0.51842,                 0.5113,                0.25735,                 1.6267,                 1.8452,                 2.2064,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.6692,                 1.8691,                 2.1686,                0.52133,                0.48439,                0.48579,                0.22968,                 1.6702,                 1.8603,                 2.2693,               0.001307,               0.001307,               0.001307
                     37,                  1.628,                 1.8696,                  2.134,                0.61537,                0.50341,                0.55356,                0.28203,                 1.5862,                 1.7357,                  2.134,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.5864,                 1.8091,                  2.116,                0.62819,                0.51631,                0.58522,                0.30703,                 1.5903,                  1.695,                 2.1833,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.5844,                 1.7854,                 2.0894,                0.68259,                0.53103,                0.59849,                0.32409,                 1.5406,                 1.6675,                 2.1174,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.6237,                 1.8056,                 2.1188,                0.58765,                 0.5307,                0.56052,                0.30245,                 1.5829,                 1.7221,                 2.1504,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.5035,                 1.7191,                 2.0267,                 0.5902,                0.54161,                0.54299,                0.29665,                 1.5294,                 1.7038,                 2.1386,               0.001208,               0.001208,               0.001208
                     42,                 1.5494,                 1.7463,                 2.0689,                 0.6564,                0.57299,                0.63008,                0.36062,                  1.466,                  1.637,                 2.0383,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.5359,                 1.7944,                 2.0661,                0.70429,                0.55662,                0.63731,                0.34596,                 1.5053,                 1.6013,                 2.0808,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.5095,                 1.6806,                 2.0188,                0.67234,                0.55988,                0.63492,                0.36652,                 1.4172,                 1.5393,                 1.9892,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.5464,                 1.7008,                 2.0515,                0.58259,                0.56934,                0.56415,                0.29899,                 1.5326,                 1.7188,                 2.0843,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.5059,                  1.674,                 2.0076,                0.71555,                0.52933,                 0.6204,                0.35763,                 1.3943,                 1.6314,                 1.9628,               0.001109,               0.001109,               0.001109
                     47,                 1.4778,                 1.6628,                 1.9726,                0.66264,                0.57299,                0.62077,                0.36844,                 1.3687,                 1.5443,                 1.9552,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.4362,                 1.6147,                 1.9492,                0.70374,                 0.5898,                0.66071,                 0.3916,                 1.3669,                 1.4737,                 1.9525,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.4054,                 1.5768,                 1.9618,                0.62612,                0.55517,                0.60023,                0.35208,                 1.4451,                 1.6026,                 2.0308,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.4741,                 1.6239,                 1.9754,                0.69135,                0.58117,                0.64653,                0.36313,                 1.3812,                 1.5678,                 1.9543,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.4358,                 1.6465,                 1.9736,                0.78131,                0.55798,                0.68685,                  0.419,                 1.3381,                 1.4544,                 1.9258,                0.00101,                0.00101,                0.00101
                     52,                 1.3678,                 1.5685,                 1.9186,                 0.6976,                0.58527,                0.65026,                0.37945,                 1.3868,                 1.5256,                 1.9691,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.4343,                 1.5945,                 1.9734,                0.74017,                0.61014,                0.68053,                0.41559,                 1.3129,                  1.459,                 1.8866,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.3676,                 1.5244,                 1.9015,                0.70671,                0.62074,                0.70272,                0.42429,                 1.3174,                 1.3659,                 1.8943,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.4019,                 1.5903,                  1.971,                0.75535,                0.63574,                0.71391,                0.45816,                 1.2469,                 1.3297,                 1.8324,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.3915,                 1.5431,                 1.9064,                0.74696,                0.60437,                0.69926,                 0.4274,                  1.273,                 1.4406,                 1.8519,               0.000911,               0.000911,               0.000911
                     57,                 1.3991,                 1.5584,                 1.9234,                0.71437,                0.61664,                 0.6972,                0.44832,                 1.2514,                 1.3672,                 1.8106,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.3644,                 1.5257,                 1.8954,                0.74304,                0.59962,                0.69485,                0.42598,                 1.2812,                 1.3724,                 1.8471,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.3702,                 1.5012,                 1.8806,                0.76499,                0.65621,                0.72591,                0.46045,                 1.2139,                 1.2957,                 1.7626,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.4243,                 1.5713,                 1.9481,                0.80283,                0.58663,                0.71891,                0.44712,                 1.2569,                 1.3436,                 1.8415,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.3785,                 1.5144,                 1.9054,                0.76629,                0.63072,                0.73507,                0.46474,                 1.2047,                 1.3881,                 1.7541,               0.000812,               0.000812,               0.000812
                     62,                  1.337,                 1.4934,                 1.8434,                0.77669,                0.64939,                0.74678,                0.48333,                 1.2321,                 1.2826,                 1.7726,              0.0007922,              0.0007922,              0.0007922
                     63,                  1.352,                  1.464,                 1.8704,                0.80248,                0.67394,                0.75662,                0.49736,                  1.177,                 1.2583,                 1.7377,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.2941,                 1.4091,                 1.8372,                0.78179,                0.64802,                0.73472,                0.48557,                 1.2035,                 1.2629,                 1.7612,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.3305,                 1.4824,                 1.8314,                 0.7943,                0.64271,                0.75081,                0.49812,                 1.1712,                 1.2426,                 1.7289,              0.0007328,              0.0007328,              0.0007328
                     66,                  1.292,                 1.4035,                 1.8113,                0.77489,                0.64666,                0.73803,                0.47898,                 1.1812,                 1.2505,                 1.7316,               0.000713,               0.000713,               0.000713
                     67,                 1.2732,                 1.4045,                 1.7933,                0.78443,                0.65033,                0.73803,                0.47631,                 1.1975,                 1.2938,                 1.7614,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.2649,                  1.403,                 1.7986,                0.79227,                0.64666,                0.75645,                0.50642,                 1.1764,                 1.1868,                 1.7184,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.3242,                 1.4045,                 1.8361,                 0.8095,                 0.6667,                 0.7673,                0.51194,                 1.1638,                 1.2047,                  1.699,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.2983,                 1.3984,                 1.8075,                0.75256,                0.67216,                0.74461,                0.48261,                   1.17,                 1.2315,                 1.7269,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.2939,                  1.407,                 1.8148,                0.77339,                0.70306,                0.77412,                0.51974,                 1.1237,                 1.2006,                 1.6686,               0.000614,               0.000614,               0.000614
                     72,                  1.228,                 1.3676,                 1.7706,                0.79642,                0.66711,                0.77671,                0.52956,                 1.1101,                  1.158,                 1.6747,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.2195,                 1.3679,                 1.7691,                0.79434,                0.64529,                0.74369,                0.49154,                 1.1752,                 1.2258,                 1.7617,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.2316,                  1.332,                 1.7522,                0.79224,                0.71487,                0.79206,                0.52881,                 1.1323,                 1.1382,                  1.665,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.1895,                 1.3289,                 1.7275,                0.80165,                 0.6985,                 0.7874,                0.53943,                 1.0861,                   1.14,                 1.6425,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.2281,                 1.3539,                 1.7633,                0.78502,                0.66755,                  0.773,                0.53709,                 1.0856,                 1.1327,                 1.6489,               0.000515,               0.000515,               0.000515
                     77,                 1.2227,                 1.3176,                 1.7545,                0.82424,                0.69095,                0.79203,                0.55144,                 1.0845,                  1.093,                 1.6341,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.2177,                 1.3315,                 1.7493,                0.80735,                0.68034,                0.78055,                0.54036,                 1.0695,                 1.0932,                 1.6228,              0.0004754,              0.0004754,              0.0004754
                     79,                  1.193,                 1.3195,                  1.754,                 0.8489,                0.70514,                 0.8037,                0.55342,                 1.0652,                 1.0694,                 1.6189,              0.0004556,              0.0004556,              0.0004556
                     80,                  1.209,                  1.329,                 1.7489,                0.83078,                0.70396,                0.78395,                0.52416,                 1.1135,                  1.149,                  1.657,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.1896,                 1.2741,                 1.7103,                0.81157,                0.71099,                0.80354,                0.56083,                 1.0483,                 1.0884,                  1.597,               0.000416,               0.000416,               0.000416
                     82,                 1.2007,                 1.2828,                 1.7348,                0.82345,                0.70259,                0.79458,                0.55944,                 1.0512,                 1.0778,                 1.6044,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.1598,                 1.2784,                 1.7065,                 0.8435,                0.71487,                0.81034,                0.58236,                 1.0011,                 1.0324,                 1.5612,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.1107,                 1.2503,                 1.6756,                0.81395,                 0.7043,                0.80568,                0.58719,                 1.0009,                 1.0284,                 1.5678,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.1516,                 1.3013,                 1.6963,                0.83712,                0.70814,                0.80715,                0.58128,                 0.9986,                 1.0564,                 1.5674,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.1392,                 1.2732,                 1.7038,                0.83692,                0.73513,                0.81559,                0.59338,                0.98316,                 1.0149,                 1.5416,               0.000317,               0.000317,               0.000317
                     87,                 1.1796,                 1.2941,                 1.7273,                0.82969,                0.72442,                0.81777,                0.58429,                 1.0033,                 1.0338,                 1.5571,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.1415,                 1.2417,                 1.7115,                0.84553,                0.74352,                0.83114,                0.60007,                0.97423,                0.98019,                 1.5295,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.1141,                 1.2283,                 1.6819,                0.84542,                 0.7176,                0.82262,                0.60395,                0.96704,                0.98087,                 1.5259,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.1338,                 1.2628,                 1.6832,                0.83397,                0.73397,                0.82369,                0.59154,                 1.0007,                 1.0003,                 1.5566,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.0861,                 1.3231,                 1.6627,                0.84462,                0.72673,                0.82664,                0.59452,                 1.0228,                 0.9977,                 1.5752,               0.000218,               0.000218,               0.000218
                     92,                 1.0459,                 1.1747,                 1.6581,                0.84655,                0.73124,                0.83262,                0.61457,                0.98212,                0.98547,                 1.5352,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.0325,                 1.1375,                 1.6347,                0.85629,                0.73971,                  0.831,                0.60486,                0.98534,                0.97082,                 1.5346,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.0226,                 1.0877,                 1.6059,                0.87485,                0.74216,                0.84128,                0.62129,                0.94245,                0.95402,                 1.4925,              0.0001586,              0.0001586,              0.0001586
                     95,                  1.001,                 1.0852,                 1.5881,                 0.8634,                0.74079,                0.83927,                0.61601,                0.93893,                0.95698,                 1.4908,              0.0001388,              0.0001388,              0.0001388
                     96,                0.99791,                 1.0923,                 1.5784,                0.86389,                0.76126,                0.84313,                0.62294,                0.92442,                0.92871,                 1.4787,               0.000119,               0.000119,               0.000119
                     97,                 1.0062,                 1.0729,                 1.5992,                 0.8662,                0.76262,                0.84257,                0.62294,                0.93194,                0.93686,                 1.4835,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.98713,                 1.0673,                 1.5694,                0.85961,                0.75034,                 0.8424,                0.62116,                0.93279,                0.93678,                 1.4856,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.98674,                 1.0661,                 1.5768,                0.88482,                0.74352,                0.84813,                0.63032,                0.91371,                0.91723,                 1.4664,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.99666,                 1.0615,                 1.5813,                0.88909,                 0.7437,                 0.8485,                0.63342,                0.91094,                0.91406,                 1.4622,               3.98e-05,               3.98e-05,               3.98e-05
